traders-redis  | 1:signal-handler (1776959369) Received SIGTERM scheduling shutdown...
traders-edge   | {"level":"info","ts":1777426709.4139163,"logger":"http.auto_https","msg":"automatic HTTP->HTTPS redirects are disabled","server_name":"srv0"}
traders-edge   | {"level":"warn","ts":1777426709.4139302,"logger":"http.auto_https","msg":"server is listening only on the HTTP port, so no automatic HTTPS will be applied to this server","server_name":"srv1","http_port":80}
traders-edge   | {"level":"info","ts":1777426709.4149652,"logger":"tls.cache.maintenance","msg":"started background certificate maintenance","cache":"0xc0000d1f00"}
traders-edge   | {"level":"info","ts":1777426709.4383767,"logger":"http","msg":"enabling HTTP/3 listener","addr":":443"}
traders-edge   | {"level":"info","ts":1777426709.4404597,"msg":"failed to sufficiently increase receive buffer size (was: 208 kiB, wanted: 7168 kiB, got: 416 kiB). See https://github.com/quic-go/quic-go/wiki/UDP-Buffer-Sizes for details."}
traders-edge   | {"level":"info","ts":1777426709.441116,"logger":"http.log","msg":"server running","name":"srv0","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"warn","ts":1777426709.4416113,"logger":"http","msg":"HTTP/2 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"warn","ts":1777426709.441618,"logger":"http","msg":"HTTP/3 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"info","ts":1777426709.4416215,"logger":"http.log","msg":"server running","name":"srv1","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"info","ts":1777426709.4416258,"logger":"http","msg":"enabling automatic TLS certificate management","domains":["173.249.18.14.sslip.io","bff.173.249.18.14.sslip.io","api.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777426709.4583354,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["173.249.18.14.sslip.io"]}
traders-edge   | {"level":"info","ts":1777426709.4646242,"logger":"tls","msg":"storage cleaning happened too recently; skipping for now","storage":"FileStorage:/data/caddy","instance":"cd43450f-3b7b-469e-b7a6-4336c9154ccf","try_again":1777513109.4646182,"try_again_in":86399.999998587}
traders-edge   | {"level":"info","ts":1777426709.4648645,"logger":"tls","msg":"finished cleaning storage units"}
traders-edge   | {"level":"warn","ts":1777426709.4668498,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [bff.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["bff.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777426709.4705887,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [api.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["api.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"info","ts":1777426709.4736552,"msg":"autosaved config (load with --resume flag)","file":"/config/caddy/autosave.json"}
traders-edge   | {"level":"info","ts":1777426709.4737136,"msg":"serving initial configuration"}
traders-edge   | {"level":"info","ts":1777427508.4826677,"msg":"shutting down apps, then terminating","signal":"SIGTERM"}
traders-edge   | {"level":"warn","ts":1777427508.4842105,"msg":"exiting; byeee!! 👋","signal":"SIGTERM"}
traders-edge   | {"level":"info","ts":1777427508.4846892,"logger":"http","msg":"servers shutting down with eternal grace period"}
traders-edge   | {"level":"info","ts":1777427508.4879932,"logger":"admin","msg":"stopped previous server","address":"localhost:2019"}
traders-edge   | {"level":"info","ts":1777427508.4880967,"msg":"shutdown complete","signal":"SIGTERM","exit_code":0}
traders-edge   | {"level":"info","ts":1777427523.298341,"msg":"using config from file","file":"/etc/caddy/Caddyfile"}
traders-edge   | {"level":"info","ts":1777427523.3095112,"msg":"adapted config to JSON","adapter":"caddyfile"}
traders-edge   | {"level":"warn","ts":1777427523.3096664,"msg":"Caddyfile input is not formatted; run 'caddy fmt --overwrite' to fix inconsistencies","adapter":"caddyfile","file":"/etc/caddy/Caddyfile","line":2}
traders-edge   | {"level":"info","ts":1777427523.3168309,"logger":"admin","msg":"admin endpoint started","address":"localhost:2019","enforce_origin":false,"origins":["//localhost:2019","//[::1]:2019","//127.0.0.1:2019"]}
traders-edge   | {"level":"info","ts":1777427523.3175037,"logger":"http.auto_https","msg":"server is listening only on the HTTPS port but has no TLS connection policies; adding one to enable TLS","server_name":"srv0","https_port":443}
traders-edge   | {"level":"info","ts":1777427523.3176684,"logger":"http.auto_https","msg":"automatic HTTP->HTTPS redirects are disabled","server_name":"srv0"}
traders-edge   | {"level":"warn","ts":1777427523.3177557,"logger":"http.auto_https","msg":"server is listening only on the HTTP port, so no automatic HTTPS will be applied to this server","server_name":"srv1","http_port":80}
traders-edge   | {"level":"info","ts":1777427523.3186207,"logger":"tls.cache.maintenance","msg":"started background certificate maintenance","cache":"0xc000748a80"}
traders-edge   | {"level":"info","ts":1777427523.3295774,"logger":"http","msg":"enabling HTTP/3 listener","addr":":443"}
traders-edge   | {"level":"info","ts":1777427523.3306208,"msg":"failed to sufficiently increase receive buffer size (was: 208 kiB, wanted: 7168 kiB, got: 416 kiB). See https://github.com/quic-go/quic-go/wiki/UDP-Buffer-Sizes for details."}
traders-edge   | {"level":"info","ts":1777427523.3311994,"logger":"http.log","msg":"server running","name":"srv0","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"warn","ts":1777427523.3317022,"logger":"http","msg":"HTTP/2 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"warn","ts":1777427523.3318293,"logger":"http","msg":"HTTP/3 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"info","ts":1777427523.3319006,"logger":"http.log","msg":"server running","name":"srv1","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"info","ts":1777427523.331967,"logger":"http","msg":"enabling automatic TLS certificate management","domains":["bff.173.249.18.14.sslip.io","api.173.249.18.14.sslip.io","173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777427523.348555,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [bff.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["bff.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777427523.3499837,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [api.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["api.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777427523.3506315,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["173.249.18.14.sslip.io"]}
traders-edge   | {"level":"info","ts":1777427523.351162,"msg":"autosaved config (load with --resume flag)","file":"/config/caddy/autosave.json"}
traders-edge   | {"level":"info","ts":1777427523.3512633,"msg":"serving initial configuration"}
traders-edge   | {"level":"info","ts":1777427523.393309,"logger":"tls","msg":"storage cleaning happened too recently; skipping for now","storage":"FileStorage:/data/caddy","instance":"cd43450f-3b7b-469e-b7a6-4336c9154ccf","try_again":1777513923.3932955,"try_again_in":86399.999990362}
traders-edge   | {"level":"info","ts":1777427523.3934736,"logger":"tls","msg":"finished cleaning storage units"}
traders-edge   | {"level":"info","ts":1777427552.9784715,"msg":"shutting down apps, then terminating","signal":"SIGTERM"}
traders-edge   | {"level":"warn","ts":1777427552.9791641,"msg":"exiting; byeee!! 👋","signal":"SIGTERM"}
traders-edge   | {"level":"info","ts":1777427552.979328,"logger":"http","msg":"servers shutting down with eternal grace period"}
traders-edge   | {"level":"info","ts":1777427552.983775,"logger":"admin","msg":"stopped previous server","address":"localhost:2019"}
traders-edge   | {"level":"info","ts":1777427552.9838994,"msg":"shutdown complete","signal":"SIGTERM","exit_code":0}
traders-edge   | {"level":"info","ts":1777427565.6420822,"msg":"using config from file","file":"/etc/caddy/Caddyfile"}
traders-edge   | {"level":"info","ts":1777427565.6486244,"msg":"adapted config to JSON","adapter":"caddyfile"}
traders-edge   | {"level":"warn","ts":1777427565.6486723,"msg":"Caddyfile input is not formatted; run 'caddy fmt --overwrite' to fix inconsistencies","adapter":"caddyfile","file":"/etc/caddy/Caddyfile","line":2}
traders-edge   | {"level":"info","ts":1777427565.6532867,"logger":"admin","msg":"admin endpoint started","address":"localhost:2019","enforce_origin":false,"origins":["//localhost:2019","//[::1]:2019","//127.0.0.1:2019"]}
traders-edge   | {"level":"info","ts":1777427565.653972,"logger":"http.auto_https","msg":"server is listening only on the HTTPS port but has no TLS connection policies; adding one to enable TLS","server_name":"srv0","https_port":443}
traders-edge   | {"level":"info","ts":1777427565.654012,"logger":"tls.cache.maintenance","msg":"started background certificate maintenance","cache":"0xc000142f00"}
traders-edge   | {"level":"info","ts":1777427565.654054,"logger":"http.auto_https","msg":"automatic HTTP->HTTPS redirects are disabled","server_name":"srv0"}
traders-edge   | {"level":"warn","ts":1777427565.6540713,"logger":"http.auto_https","msg":"server is listening only on the HTTP port, so no automatic HTTPS will be applied to this server","server_name":"srv1","http_port":80}
traders-edge   | {"level":"warn","ts":1777427565.6586103,"logger":"http","msg":"HTTP/2 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"warn","ts":1777427565.658644,"logger":"http","msg":"HTTP/3 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"info","ts":1777427565.6586504,"logger":"http.log","msg":"server running","name":"srv1","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"info","ts":1777427565.6587405,"logger":"http","msg":"enabling HTTP/3 listener","addr":":443"}
traders-edge   | {"level":"info","ts":1777427565.6588826,"msg":"failed to sufficiently increase receive buffer size (was: 208 kiB, wanted: 7168 kiB, got: 416 kiB). See https://github.com/quic-go/quic-go/wiki/UDP-Buffer-Sizes for details."}
traders-edge   | {"level":"info","ts":1777427565.6613803,"logger":"http.log","msg":"server running","name":"srv0","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"info","ts":1777427565.6615448,"logger":"http","msg":"enabling automatic TLS certificate management","domains":["api.173.249.18.14.sslip.io","173.249.18.14.sslip.io","bff.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777427565.6627753,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [api.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["api.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777427565.6639662,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777427565.6650698,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [bff.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["bff.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"info","ts":1777427565.66625,"msg":"autosaved config (load with --resume flag)","file":"/config/caddy/autosave.json"}
traders-edge   | {"level":"info","ts":1777427565.6662807,"msg":"serving initial configuration"}
traders-edge   | {"level":"info","ts":1777427565.668941,"logger":"tls","msg":"storage cleaning happened too recently; skipping for now","storage":"FileStorage:/data/caddy","instance":"cd43450f-3b7b-469e-b7a6-4336c9154ccf","try_again":1777513965.668925,"try_again_in":86399.999989791}
traders-edge   | {"level":"info","ts":1777427565.671307,"logger":"tls","msg":"finished cleaning storage units"}
traders-edge   | {"level":"info","ts":1777427712.1404471,"msg":"shutting down apps, then terminating","signal":"SIGTERM"}
traders-edge   | {"level":"warn","ts":1777427712.1419609,"msg":"exiting; byeee!! 👋","signal":"SIGTERM"}
traders-edge   | {"level":"info","ts":1777427712.1420355,"logger":"http","msg":"servers shutting down with eternal grace period"}
traders-edge   | {"level":"info","ts":1777427712.1457326,"logger":"admin","msg":"stopped previous server","address":"localhost:2019"}
traders-edge   | {"level":"info","ts":1777427712.1457748,"msg":"shutdown complete","signal":"SIGTERM","exit_code":0}
traders-edge   | {"level":"info","ts":1777427724.7520392,"msg":"using config from file","file":"/etc/caddy/Caddyfile"}
traders-edge   | {"level":"info","ts":1777427724.7567759,"msg":"adapted config to JSON","adapter":"caddyfile"}
traders-edge   | {"level":"warn","ts":1777427724.7569108,"msg":"Caddyfile input is not formatted; run 'caddy fmt --overwrite' to fix inconsistencies","adapter":"caddyfile","file":"/etc/caddy/Caddyfile","line":2}
traders-edge   | {"level":"info","ts":1777427724.7601795,"logger":"admin","msg":"admin endpoint started","address":"localhost:2019","enforce_origin":false,"origins":["//localhost:2019","//[::1]:2019","//127.0.0.1:2019"]}
traders-edge   | {"level":"info","ts":1777427724.760799,"logger":"tls.cache.maintenance","msg":"started background certificate maintenance","cache":"0xc0003fbe80"}
traders-edge   | {"level":"info","ts":1777427724.7608063,"logger":"http.auto_https","msg":"server is listening only on the HTTPS port but has no TLS connection policies; adding one to enable TLS","server_name":"srv0","https_port":443}
traders-edge   | {"level":"info","ts":1777427724.760987,"logger":"http.auto_https","msg":"automatic HTTP->HTTPS redirects are disabled","server_name":"srv0"}
traders-edge   | {"level":"warn","ts":1777427724.761056,"logger":"http.auto_https","msg":"server is listening only on the HTTP port, so no automatic HTTPS will be applied to this server","server_name":"srv1","http_port":80}
traders-edge   | {"level":"info","ts":1777427724.7654333,"logger":"http","msg":"enabling HTTP/3 listener","addr":":443"}
traders-edge   | {"level":"info","ts":1777427724.7656384,"msg":"failed to sufficiently increase receive buffer size (was: 208 kiB, wanted: 7168 kiB, got: 416 kiB). See https://github.com/quic-go/quic-go/wiki/UDP-Buffer-Sizes for details."}
traders-edge   | {"level":"info","ts":1777427724.7659585,"logger":"http.log","msg":"server running","name":"srv0","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"warn","ts":1777427724.766087,"logger":"http","msg":"HTTP/2 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"warn","ts":1777427724.766095,"logger":"http","msg":"HTTP/3 skipped because it requires TLS","network":"tcp","addr":":80"}
traders-edge   | {"level":"info","ts":1777427724.7661157,"logger":"http.log","msg":"server running","name":"srv1","protocols":["h1","h2","h3"]}
traders-edge   | {"level":"info","ts":1777427724.7661207,"logger":"http","msg":"enabling automatic TLS certificate management","domains":["173.249.18.14.sslip.io","bff.173.249.18.14.sslip.io","api.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777427724.7670739,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777427724.7681942,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [bff.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["bff.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"warn","ts":1777427724.769692,"logger":"tls","msg":"stapling OCSP","error":"no OCSP stapling for [api.173.249.18.14.sslip.io]: no OCSP server specified in certificate","identifiers":["api.173.249.18.14.sslip.io"]}
traders-edge   | {"level":"info","ts":1777427724.773363,"msg":"autosaved config (load with --resume flag)","file":"/config/caddy/autosave.json"}
traders-edge   | {"level":"info","ts":1777427724.7734697,"msg":"serving initial configuration"}
traders-edge   | {"level":"info","ts":1777427724.777656,"logger":"tls","msg":"storage cleaning happened too recently; skipping for now","storage":"FileStorage:/data/caddy","instance":"cd43450f-3b7b-469e-b7a6-4336c9154ccf","try_again":1777514124.7776384,"try_again_in":86399.999987646}
traders-edge   | {"level":"info","ts":1777427724.7779691,"logger":"tls","msg":"finished cleaning storage units"}
